Alachua,$144.29 
Baker,$191.06 
Bay,$225.46 
Bradford,$190.57 
Brevard,$130.25 
Broward,$278.68 
Calhoun,$144.55 
Charlotte,$447.60 
Citrus,$262.21 
Clay,$197.26 
Collier,$515.91 
Columbia,$178.67 
DeSoto,$198.38 
Dixie,$286.13 
Duval,$369.35 
Escambia,$196.08 
Flagler,$226.40 
Franklin,$384.93 
Gadsden,$141.47 
Gilchrist,$176.13 
Glades,$404.47 
Gulf,$387.29 
Hamilton,$180.72 
Hardee,$392.26 
Hendry,$291.69 
Hernando,$271.67 
Highlands,$208.83 
Hillsborough,$292.49 
Holmes,$218.50 
Indian River,$193.26 
Jackson,$150.03 
Jefferson,$254.95 
Lafayette,$124.49 
Lake,$151.00 
Lee,$182.85 
Leon,$140.98 
Levy,$162.58 
Liberty,$240.60 
Madison,$303.55 
Manatee,$279.23 
Marion,$163.65 
Martin,$314.01 
Miami-Dade,$258.48 
Monroe,$697.59 
Nassau,$192.38 
Okaloosa,$255.20 
Okeechobee,$221.41 
Orange,$201.48 
Osceola,$262.19 
Palm Beach,$325.68 
Pasco,$312.37 
Pinellas,$225.17 
Polk,$166.45 
Putnam,$189.29 
St. Johns,$343.57 
St. Lucie,$184.17 
Santa Rosa,$283.75 
Sarasota,$214.36 
Seminole,$210.48 
Sumter,$156.54 
Suwannee,$164.29 
Taylor,$206.88 
Union,$186.73 
Volusia,$121.09 
Wakulla,$252.79 
Walton,$809.49 
Washington,$159.96 
